truth_idx,est_idx,truth_onset,truth_offset,truth_pitch,est_onset,est_offset,est_pitch,onset_diff_ms,offset_diff_ms,pitch_diff_cents,status
0.0000,0.0000,1.7056,2.7039,79.8370,1.7052,2.6333,80.0000,-0.3817,-70.5267,16.3040,unmatched_offset
1.0000,1.0000,1.7115,2.6771,70.9936,1.7073,2.7745,71.0000,-4.1883,97.4192,0.6380,unmatched_offset
2.0000,2.0000,3.0512,3.1081,79.6800,3.0521,3.1151,80.0000,0.8633,7.0242,32.0000,matched_strict
3.0000,3.0000,3.0666,4.1187,70.9600,3.0547,4.1208,71.0000,-11.8725,2.1333,4.0000,matched_strict
4.0000,4.0000,3.1061,3.1811,78.0050,3.1057,3.1896,78.0000,-0.3408,8.4533,-0.5000,matched_strict
5.0000,5.0000,3.1730,3.4598,79.8100,3.1729,3.4547,80.0000,-0.1133,-5.0825,19.0000,matched_strict
6.0000,6.0000,3.4620,3.7616,77.9800,3.4630,3.7490,78.0000,1.0608,-12.6717,2.0000,matched_strict
7.0000,7.0000,3.7676,4.1099,63.9100,3.7724,4.1464,64.0000,4.7658,36.4242,9.0000,unmatched_offset
8.0000,9.0000,4.1187,4.7547,70.9400,4.1250,4.7635,71.0000,6.3000,8.8617,6.0000,matched_strict
9.0000,8.0000,4.1224,4.3944,79.8200,4.1245,4.3917,80.0000,2.0992,-2.7133,18.0000,matched_strict
10.0000,10.0000,4.3806,4.7617,84.8750,4.3922,4.7531,85.0000,11.5775,-8.5750,12.5000,matched_strict
11.0000,11.0000,4.7573,5.3404,70.9500,4.7646,5.3339,71.0000,7.3033,-6.5758,5.0000,matched_strict
12.0000,12.0000,4.7603,4.8558,81.8500,4.7714,4.8885,82.0000,11.0642,32.7617,15.0000,unmatched_offset
13.0000,13.0000,4.8558,5.2808,82.9668,4.8906,5.3016,83.0000,34.8450,20.7425,3.3250,matched_strict
14.0000,14.0000,5.3269,5.3628,79.6900,5.3250,5.3745,80.0000,-1.9200,11.6792,31.0000,matched_strict
15.0000,15.0000,5.3404,6.2371,70.9300,5.3339,5.3349,71.0000,-6.5758,-902.2442,7.0000,unmatched_offset
16.0000,16.0000,5.3620,5.4219,77.9800,5.3661,5.4422,78.0000,4.1958,20.3275,2.0000,matched_strict
17.0000,17.0000,5.4278,5.7329,79.8600,5.4276,5.7307,80.0000,-0.1958,-2.1208,14.0000,matched_strict
18.0000,18.0000,5.7330,5.7826,81.0800,5.7391,5.8000,81.0000,6.0225,17.4300,-8.0000,matched_strict
19.0000,19.0000,5.7828,5.8430,79.8900,5.7875,5.8599,80.0000,4.6500,16.8558,11.0000,matched_strict
20.0000,20.0000,5.8442,5.9061,80.9700,5.8469,5.9068,81.0000,2.6950,0.6808,3.0000,matched_strict
21.0000,21.0000,5.9051,6.0024,79.8500,5.9031,6.0057,80.0000,-1.9450,3.3692,15.0000,matched_strict
22.0000,22.0000,6.0030,6.2404,77.8700,6.0047,6.2406,78.0000,1.6875,0.2650,13.0000,matched_strict
23.0000,24.0000,6.2405,7.1175,70.9400,6.2583,7.1229,71.0000,17.8133,5.4467,6.0000,matched_strict
24.0000,23.0000,6.2493,6.2896,79.7000,6.2422,6.3000,80.0000,-7.1625,10.4200,30.0000,matched_strict
25.0000,25.0000,6.2935,6.3481,78.0100,6.2880,6.3542,78.0000,-5.4492,6.0967,-1.0000,matched_strict
26.0000,26.0000,6.3496,6.5969,79.8100,6.3516,6.5870,80.0000,1.9825,-9.9008,19.0000,matched_strict
27.0000,27.0000,6.5966,6.8439,78.0150,6.6021,6.8187,78.0000,5.5133,-25.1600,-1.5000,unmatched_offset
28.0000,28.0000,6.8630,7.1169,63.9300,6.8344,7.1344,64.0000,-28.5950,17.4550,7.0000,matched_strict
29.0000,29.0000,7.1213,7.6568,70.9600,7.1245,7.6578,71.0000,3.1292,1.0325,4.0000,matched_strict
