truth_idx,est_idx,truth_onset,truth_offset,truth_pitch,est_onset,est_offset,est_pitch,onset_diff_ms,offset_diff_ms,pitch_diff_cents,status
0.0000,0.0000,1.6525,2.2745,72.1401,1.6776,2.2672,72.0000,25.0942,-7.3225,-14.0080,matched_strict
1.0000,1.0000,1.6530,1.7150,82.8809,1.6865,1.7729,84.0000,33.4583,57.9567,111.9050,unmatched_pitch
2.0000,1.0000,1.7363,1.7763,83.9050,1.6865,1.7729,84.0000,-49.8017,-3.4133,9.5000,matched_strict
3.0000,2.0000,1.7619,1.8286,82.9200,1.7708,1.8458,83.0000,8.9233,17.2633,8.0000,matched_strict
4.0000,3.0000,1.8357,2.7239,83.9600,1.8432,2.6109,84.0000,7.4992,-112.9625,4.0000,unmatched_offset
5.0000,4.0000,2.2584,2.3394,73.7800,2.2625,2.3510,74.0000,4.1000,11.6317,22.0000,matched_strict
6.0000,6.0000,2.3445,2.3925,72.1600,2.3333,2.4021,72.0000,-11.1767,9.6233,-16.0000,matched_strict
7.0000,7.0000,2.3869,2.4729,73.9300,2.3995,2.4786,74.0000,12.6092,5.7158,7.0000,matched_strict
8.0000,8.0000,2.4656,2.7365,72.0400,2.4677,2.7042,72.0000,2.0783,-32.2933,-4.0000,unmatched_offset
9.0000,9.0000,2.8477,2.9025,80.9000,2.8255,2.8948,81.0000,-22.1992,-7.6983,10.0000,matched_strict
10.0000,10.0000,2.8615,3.8380,72.0373,2.8604,2.9615,72.0000,-1.0433,-876.5117,-3.7290,unmatched_offset
11.0000,11.0000,2.8757,2.9838,79.0300,2.8927,2.9823,79.0000,16.9883,-1.4683,-3.0000,matched_strict
12.0000,12.0000,2.9763,3.4888,80.9700,2.9781,3.4698,81.0000,1.8550,-19.0083,3.0000,matched_strict
13.0000,15.0000,3.4881,3.6978,86.0600,3.4880,3.8151,86.0000,-0.0392,117.3242,-6.0000,unmatched_offset
14.0000,17.0000,3.8390,4.6541,72.0580,3.8260,4.6589,72.0000,-12.9683,4.7042,-5.7960,matched_strict
15.0000,16.0000,3.8457,3.8952,80.7900,3.8255,3.8870,81.0000,-20.2292,-8.1708,21.0000,matched_strict
16.0000,18.0000,3.8819,3.9432,79.3100,3.8901,3.9589,79.0000,8.1742,15.6542,-31.0000,matched_strict
17.0000,19.0000,3.9378,4.3131,80.9000,3.9411,4.3151,81.0000,3.3358,1.9942,10.0000,matched_strict
18.0000,20.0000,4.3241,4.3712,83.8150,4.3229,4.3776,84.0000,-1.1433,6.4442,18.5000,matched_strict
19.0000,21.0000,4.3625,4.4234,82.7500,4.3573,4.4229,83.0000,-5.1783,-0.4833,25.0000,matched_strict
20.0000,22.0000,4.4147,4.6673,83.8600,4.4198,4.6703,84.0000,5.1217,2.9625,14.0000,matched_strict
21.0000,23.0000,4.6585,5.3589,72.0566,4.6604,5.3661,72.0000,1.9567,7.2958,-5.6570,matched_strict
22.0000,24.0000,4.6673,4.8936,83.8550,4.6719,4.8682,84.0000,4.5250,-25.3808,14.5000,unmatched_offset
23.0000,25.0000,4.8934,5.1316,82.9300,4.8953,5.1240,83.0000,1.9125,-7.6517,7.0000,matched_strict
24.0000,26.0000,5.1245,5.3580,86.2700,5.1146,5.3589,86.0000,-9.9067,0.8542,-27.0000,matched_strict
25.0000,27.0000,5.3605,5.7702,72.0200,5.3672,5.7526,72.0000,6.7175,-17.5558,-2.0000,matched_strict
26.0000,28.0000,5.3705,5.4683,82.9050,5.3745,5.4932,83.0000,3.9392,24.9292,9.5000,matched_strict
27.0000,29.0000,5.4880,6.0954,83.9400,5.4938,6.3047,84.0000,5.7400,209.2775,6.0000,unmatched_offset
28.0000,30.0000,5.7469,5.8057,73.9000,5.7464,5.9385,74.0000,-0.5758,132.8617,10.0000,unmatched_offset
29.0000,31.0000,5.8119,5.8574,72.0052,5.7990,5.8646,72.0000,-12.9617,7.2033,-0.5180,matched_strict
30.0000,32.0000,5.8607,5.9327,73.8600,5.9318,6.0995,72.0000,71.0908,166.7792,-186.0000,unmatched_onset+pitch
31.0000,32.0000,5.9261,6.1077,72.0300,5.9318,6.0995,72.0000,5.7008,-8.2208,-3.0000,matched_strict
32.0000,,6.1040,6.3073,83.8600,,,,,,,missed
33.0000,33.0000,6.1142,6.7513,72.1080,6.1005,6.5307,72.0000,-13.6292,-220.5408,-10.7960,unmatched_offset
34.0000,34.0000,6.3024,6.5422,81.0000,6.3047,6.5406,81.0000,2.3175,-1.5950,0.0000,matched_strict
35.0000,36.0000,6.5516,6.7589,86.1500,6.5406,6.7620,86.0000,-10.9950,3.0892,-15.0000,matched_strict
36.0000,38.0000,6.7563,7.4323,72.0566,6.7687,7.4339,72.0000,12.4800,1.5042,-5.6570,matched_strict
37.0000,37.0000,6.7589,6.9081,86.1300,6.7635,6.9141,86.0000,4.6517,5.9525,-13.0000,matched_strict
38.0000,39.0000,6.9328,6.9787,80.8500,6.9250,6.9828,81.0000,-7.7800,4.0725,15.0000,matched_strict
39.0000,40.0000,6.9653,7.0182,79.1750,6.9609,7.0276,79.0000,-4.3125,9.3742,-17.5000,matched_strict
40.0000,41.0000,6.9987,7.2388,80.9200,7.0187,7.2557,81.0000,20.0100,16.9092,8.0000,matched_strict
41.0000,42.0000,7.2464,7.4269,83.9600,7.2401,7.4411,84.0000,-6.2558,14.1958,4.0000,matched_strict
42.0000,44.0000,7.4344,7.6328,83.9100,7.4443,7.6495,84.0000,9.8708,16.7192,9.0000,matched_strict
43.0000,43.0000,7.4384,8.0903,72.0566,7.4375,8.0938,72.0000,-0.8600,3.4900,-5.6570,matched_strict
44.0000,45.0000,7.6436,7.8832,83.0100,7.6505,7.8786,83.0000,6.8908,-4.5242,-1.0000,matched_strict
45.0000,46.0000,7.8697,8.0747,86.2000,7.8620,8.0917,86.0000,-7.7208,16.9267,-20.0000,matched_strict
46.0000,47.0000,8.0931,8.4379,72.0500,8.0964,8.4547,72.0000,3.2442,16.8075,-5.0000,matched_strict
47.0000,48.0000,8.1078,8.2082,82.9200,8.0969,8.2141,83.0000,-10.9750,5.8125,8.0000,matched_strict
48.0000,49.0000,8.2091,8.7851,84.0300,8.2099,8.7896,84.0000,0.7758,4.4733,-3.0000,matched_strict
49.0000,50.0000,8.4352,8.5041,73.8600,8.4385,8.5042,74.0000,3.3317,0.0467,14.0000,matched_strict
50.0000,51.0000,8.4929,8.5465,72.1100,8.4917,8.5526,72.0000,-1.2133,6.0542,-11.0000,matched_strict
