truth_idx,est_idx,truth_onset,truth_offset,truth_pitch,est_onset,est_offset,est_pitch,onset_diff_ms,offset_diff_ms,pitch_diff_cents,status
0.0000,0.0000,1.7056,2.7039,79.8370,1.7052,2.6333,79.8000,-0.3800,-70.5300,-3.6960,unmatched_offset
1.0000,1.0000,1.7115,2.6771,70.9936,1.7073,2.7745,70.9300,-4.1900,97.4200,-6.3620,unmatched_offset
2.0000,2.0000,3.0512,3.1061,79.6800,3.0521,3.1151,79.6600,0.8600,9.0300,-2.0000,matched_strict
3.0000,3.0000,3.0666,4.1187,70.9600,3.0547,4.1208,71.0600,-11.8700,2.1300,10.0000,matched_strict
4.0000,4.0000,3.1061,3.1730,78.0050,3.1057,3.1896,77.9900,-0.3400,16.5500,-1.5000,matched_strict
5.0000,5.0000,3.1730,3.4598,79.8100,3.1729,3.4547,79.6600,-0.1100,-5.0800,-15.0000,matched_strict
6.0000,6.0000,3.4620,3.7616,77.9800,3.4630,3.7490,77.9900,1.0600,-12.6700,1.0000,matched_strict
7.0000,7.0000,3.7676,4.1099,63.9100,3.7724,4.1463,63.8900,4.7700,36.4200,-2.0000,unmatched_offset
8.0000,9.0000,4.1187,4.7547,70.9400,4.1250,4.7635,70.9300,6.3000,8.8600,-1.0000,matched_strict
9.0000,8.0000,4.1224,4.3806,79.8200,4.1245,4.3917,79.8000,2.1000,11.0600,-2.0000,matched_strict
10.0000,10.0000,4.3806,4.7617,84.8750,4.3922,4.7531,84.9300,11.5800,-8.5800,5.5000,matched_strict
11.0000,11.0000,4.7573,5.3404,70.9500,4.7646,5.3338,70.8900,7.3000,-6.5800,-6.0000,matched_strict
12.0000,12.0000,4.7603,4.8558,81.8500,4.7713,4.8885,81.8000,11.0600,32.7600,-5.0000,unmatched_offset
13.0000,13.0000,4.8558,5.2808,82.9668,4.8906,5.3016,82.9900,34.8400,20.7400,2.3250,matched_strict
14.0000,14.0000,5.3269,5.3628,79.6900,5.3250,5.3745,79.6100,-1.9200,11.6800,-8.0000,matched_strict
15.0000,,5.3404,6.2371,70.9300,,,,,,,missed
16.0000,15.0000,5.3620,5.4219,77.9800,5.3662,5.4422,78.1200,4.2000,20.3300,14.0000,matched_strict
17.0000,16.0000,5.4278,5.7329,79.8600,5.4276,5.7307,79.7500,-0.2000,-2.1200,-11.0000,matched_strict
18.0000,17.0000,5.7330,5.7826,81.0800,5.7391,5.8000,81.0600,6.0200,17.4300,-2.0000,matched_strict
19.0000,18.0000,5.7828,5.8430,79.8900,5.7875,5.8599,79.7500,4.6500,16.8600,-14.0000,matched_strict
20.0000,19.0000,5.8442,5.9051,80.9700,5.8469,5.9068,81.0400,2.6900,1.7000,7.0000,matched_strict
21.0000,20.0000,5.9051,6.0024,79.8500,5.9031,6.0057,79.7500,-1.9400,3.3700,-10.0000,matched_strict
22.0000,21.0000,6.0030,6.2404,77.8700,6.0047,6.2406,77.8000,1.6900,0.2600,-7.0000,matched_strict
23.0000,23.0000,6.2405,7.1175,70.9400,6.2583,7.1229,70.9300,17.8100,5.4500,-1.0000,matched_strict
24.0000,22.0000,6.2493,6.2896,79.7000,6.2422,6.3000,79.5800,-7.1600,10.4200,-12.0000,matched_strict
25.0000,24.0000,6.2935,6.3481,78.0100,6.2880,6.3542,77.8000,-5.4500,6.1000,-21.0000,matched_strict
26.0000,25.0000,6.3496,6.5966,79.8100,6.3516,6.5870,79.6700,1.9800,-9.5900,-14.0000,matched_strict
27.0000,26.0000,6.5966,6.8439,78.0150,6.6021,6.8187,77.8000,5.5100,-25.1600,-21.5000,unmatched_offset
28.0000,27.0000,6.8630,7.1169,63.9300,6.8344,7.1344,63.8900,-28.6000,17.4600,-4.0000,matched_strict
29.0000,28.0000,7.1213,7.6568,70.9600,7.1245,7.6578,70.9300,3.1300,1.0300,-3.0000,matched_strict
30.0000,29.0000,7.1324,7.3698,79.8200,7.1333,7.3724,79.8000,0.9200,2.6400,-2.0000,matched_strict
31.0000,30.0000,7.3698,7.6510,84.7500,7.3713,7.6516,84.7200,1.5900,0.5800,-3.0000,matched_strict
32.0000,32.0000,7.6549,8.1734,70.9600,7.6583,8.1615,71.0200,3.4300,-11.9600,6.0000,matched_strict
33.0000,31.0000,7.6571,7.7839,81.8300,7.6573,7.7938,81.7300,0.2000,9.8500,-10.0000,matched_strict
34.0000,33.0000,7.7839,8.1386,83.0600,7.8073,8.1156,82.9900,23.3900,-22.9700,-7.0000,matched_strict
35.0000,34.0000,8.1495,8.1866,79.8050,8.1537,8.2016,79.4200,4.1000,14.9200,-38.5000,unmatched_pitch
