onset,offset,onpitch,offpitch,essential,bar,upmeter,lowmeter,offmeter,notetype,alignidx,file1idx,file2idx,metralign,previous,next
1.65251,2.27451,72.14008,72.14008,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,6.00000
1.65300,1.71496,82.88095,82.88095,1.00000,1.00000,1.00000,3.00000,NaN,0.00000,0.00000,2.00000,2.00000,0.00000,0.00000,0.00000
1.73626,1.77633,83.90500,83.90500,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3.00000,4.00000,0.00000,0.00000,4.00000
1.76191,1.82857,82.92000,82.92000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.00000,5.00000,0.00000,3.00000,0.00000
1.83573,2.72390,83.96000,83.96000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.00000,6.00000,0.00000,0.00000,0.00000
2.25840,2.33941,73.78000,73.78000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.00000,7.00000,0.00000,1.00000,0.00000
2.34451,2.39246,72.16000,72.16000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,7.00000,8.00000,0.00000,0.00000,8.00000
2.38687,2.47293,73.93000,73.93000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.00000,9.00000,0.00000,7.00000,9.00000
2.46563,2.73646,72.04000,72.04000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9.00000,10.00000,0.00000,8.00000,0.00000
2.84772,2.90249,80.90000,80.90000,1.00000,2.00000,1.00000,3.00000,NaN,0.00000,0.00000,10.00000,11.00000,0.00000,0.00000,0.00000
2.86146,3.83797,72.03729,72.03729,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.00000,12.00000,0.00000,0.00000,0.00000
2.87572,2.98376,79.03000,79.03000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.00000,13.00000,0.00000,0.00000,0.00000
2.97627,3.48880,80.97000,80.97000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,13.00000,14.00000,0.00000,0.00000,14.00000
3.48806,3.69778,86.06000,86.06000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,14.00000,15.00000,0.00000,13.00000,0.00000
3.83901,4.65415,72.05796,72.05796,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,15.00000,17.00000,0.00000,0.00000,0.00000
3.84575,3.89515,80.79000,80.79000,1.00000,3.00000,1.00000,3.00000,NaN,0.00000,0.00000,16.00000,18.00000,0.00000,0.00000,17.00000
3.88193,3.94320,79.31000,79.31000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,17.00000,20.00000,0.00000,16.00000,18.00000
3.93781,4.31311,80.90000,80.90000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,18.00000,21.00000,0.00000,17.00000,0.00000
4.32406,4.37116,83.81500,83.81500,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,19.00000,23.00000,0.00000,0.00000,20.00000
4.36247,4.42340,82.75000,82.75000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,20.00000,24.00000,0.00000,19.00000,21.00000
4.41467,4.66735,83.86000,83.86000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,21.00000,25.00000,0.00000,20.00000,0.00000
4.65846,5.35885,72.05657,72.05657,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,22.00000,26.00000,0.00000,0.00000,0.00000
4.66735,4.89361,83.85500,83.85500,1.00000,4.00000,1.00000,3.00000,NaN,0.00000,0.00000,23.00000,27.00000,0.00000,0.00000,24.00000
4.89340,5.13161,82.93000,82.93000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,24.00000,28.00000,0.00000,23.00000,25.00000
5.12449,5.35800,86.27000,86.27000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,25.00000,30.00000,0.00000,24.00000,0.00000
5.36047,5.77016,72.02000,72.02000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,26.00000,32.00000,0.00000,0.00000,29.00000
5.37054,5.46830,82.90500,82.90500,1.00000,5.00000,1.00000,3.00000,NaN,0.00000,0.00000,27.00000,33.00000,0.00000,0.00000,0.00000
5.48801,6.09541,83.94000,83.94000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,28.00000,35.00000,0.00000,0.00000,0.00000
5.74693,5.80568,73.90000,73.90000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,29.00000,36.00000,0.00000,26.00000,0.00000
5.81192,5.85738,72.00518,72.00518,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,30.00000,37.00000,0.00000,0.00000,0.00000
5.86068,5.93270,73.86000,73.86000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,31.00000,38.00000,0.00000,0.00000,32.00000
5.92607,6.10770,72.03000,72.03000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,32.00000,39.00000,0.00000,31.00000,0.00000
6.10401,6.30727,83.86000,83.86000,1.00000,6.00000,1.00000,3.00000,NaN,0.00000,0.00000,33.00000,40.00000,0.00000,0.00000,35.00000
6.11415,6.75127,72.10796,72.10796,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,34.00000,42.00000,0.00000,0.00000,0.00000
6.30237,6.54222,81.00000,81.00000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,35.00000,43.00000,0.00000,33.00000,0.00000
6.55162,6.75889,86.15000,86.15000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,36.00000,44.00000,0.00000,0.00000,0.00000
6.75627,7.43235,72.05657,72.05657,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,37.00000,45.00000,0.00000,0.00000,0.00000
6.75889,6.90811,86.13000,86.13000,1.00000,7.00000,1.00000,3.00000,NaN,0.00000,0.00000,38.00000,46.00000,0.00000,0.00000,0.00000
6.93278,6.97874,80.85000,80.85000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,39.00000,47.00000,0.00000,0.00000,40.00000
6.96525,7.01823,79.17500,79.17500,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,40.00000,48.00000,0.00000,39.00000,41.00000
6.99874,7.23882,80.92000,80.92000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,41.00000,49.00000,0.00000,40.00000,0.00000
7.24636,7.42695,83.96000,83.96000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,42.00000,50.00000,0.00000,0.00000,0.00000
7.43440,7.63276,83.91000,83.91000,1.00000,8.00000,1.00000,3.00000,NaN,0.00000,0.00000,43.00000,52.00000,0.00000,0.00000,0.00000
7.43836,8.09026,72.05657,72.05657,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,44.00000,53.00000,0.00000,0.00000,0.00000
7.64363,7.88317,83.01000,83.01000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,45.00000,54.00000,0.00000,0.00000,46.00000
7.86970,8.07474,86.20000,86.20000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,46.00000,56.00000,0.00000,45.00000,0.00000
8.09311,8.43788,72.05000,72.05000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,47.00000,58.00000,0.00000,0.00000,50.00000
8.10785,8.20825,82.92000,82.92000,1.00000,9.00000,1.00000,3.00000,NaN,0.00000,0.00000,48.00000,60.00000,0.00000,0.00000,0.00000
8.20912,8.78511,84.03000,84.03000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,49.00000,61.00000,0.00000,0.00000,0.00000
8.43521,8.50412,73.86000,73.86000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,50.00000,62.00000,0.00000,47.00000,51.00000
8.49288,8.54655,72.11000,72.11000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,51.00000,64.00000,0.00000,50.00000,52.00000
8.53912,8.63202,73.94000,73.94000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,52.00000,65.00000,0.00000,51.00000,0.00000
8.63252,8.79696,72.06000,72.06000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,53.00000,67.00000,0.00000,0.00000,0.00000
8.79532,9.06739,83.93000,83.93000,1.00000,10.00000,1.00000,3.00000,NaN,0.00000,0.00000,54.00000,68.00000,0.00000,0.00000,56.00000
8.79696,9.42483,72.10796,72.10796,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,55.00000,69.00000,0.00000,0.00000,0.00000
9.03790,9.24735,81.01000,81.01000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,56.00000,70.00000,0.00000,54.00000,57.00000
9.24417,9.45283,86.06000,86.06000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,57.00000,72.00000,0.00000,56.00000,0.00000
9.42744,10.09592,72.05000,72.05000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,58.00000,73.00000,0.00000,0.00000,0.00000
9.45283,9.60726,85.99000,85.99000,1.00000,11.00000,1.00000,3.00000,NaN,0.00000,0.00000,59.00000,74.00000,0.00000,0.00000,0.00000
9.63317,9.67350,80.86000,80.86000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,60.00000,75.00000,0.00000,0.00000,61.00000
9.66014,9.71255,79.15000,79.15000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,61.00000,76.00000,0.00000,60.00000,62.00000
9.70850,9.89751,80.92500,80.92500,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,62.00000,77.00000,0.00000,61.00000,0.00000
