onset,offset,onpitch,offpitch,essential,bar,upmeter,lowmeter,offmeter,notetype,alignidx,file1idx,file2idx,metralign,previous,next
1.70559,2.70386,79.83696,79.83696,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,1.00000,0.00000,0.00000,0.00000
1.71148,2.67706,70.99362,70.99362,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,2.00000,2.00000,0.00000,0.00000,0.00000
3.05122,3.10607,79.68000,79.68000,1.00000,1.00000,1.00000,3.00000,NaN,0.00000,0.00000,3.00000,3.00000,0.00000,0.00000,5.00000
3.06656,4.11870,70.96000,70.96000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,4.00000,4.00000,0.00000,0.00000,0.00000
3.10607,3.17303,78.00500,78.00500,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.00000,5.00000,0.00000,3.00000,6.00000
3.17303,3.45977,79.81000,79.81000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.00000,6.00000,0.00000,5.00000,0.00000
3.46196,3.76163,77.98000,77.98000,1.00000,1.00000,2.00000,3.00000,NaN,0.00000,0.00000,7.00000,7.00000,0.00000,0.00000,0.00000
3.76763,4.10993,63.91000,63.91000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,8.00000,8.00000,0.00000,0.00000,0.00000
4.11870,4.75468,70.94000,70.94000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,9.00000,9.00000,0.00000,0.00000,0.00000
4.12238,4.38061,79.82000,79.82000,1.00000,1.00000,3.00000,3.00000,NaN,0.00000,0.00000,10.00000,10.00000,0.00000,0.00000,11.00000
4.38061,4.76170,84.87500,84.87500,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,11.00000,11.00000,0.00000,10.00000,0.00000
4.75728,5.34043,70.95000,70.95000,1.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,12.00000,12.00000,0.00000,0.00000,0.00000
